year,state,state_abbr,data_value
2019,Montana,MT,344.5916666666667
2019,Montana,MT,344.5916666666667
2019,Montana,MT,234
2019,Montana,MT,285.3
2019,Montana,MT,186.3
2019,New Hampshire,NH,147.5
2019,New Hampshire,NH,228.6727272727273
2019,New Hampshire,NH,73.7
2019,Alaska,AK,136.6
2019,Alaska,AK,257.7
2019,Alaska,AK,327.1
2019,Alaska,AK,192.1
2019,Alaska,AK,239.3
2019,Alaska,AK,300.8
2019,Alaska,AK,177
2019,Alaska,AK,300.2
2019,Alaska,AK,309.9
2019,Alaska,AK,268
2019,Alaska,AK,161.9
2019,Alaska,AK,191.5
2019,Alaska,AK,133.5
2019,Alaska,AK,173
2019,Alaska,AK,219.6
2019,Alaska,AK,423.5
2019,Alaska,AK,589.6
2019,Alaska,AK,301.6
2019,Alabama,AL,178.9
2019,Alabama,AL,163
2019,Alabama,AL,133.6
2019,Alabama,AL,438
2019,Alabama,AL,554
2019,Alabama,AL,345.9
2019,Alabama,AL,433.5
2019,Alabama,AL,547.9
2019,Alabama,AL,340.1
2019,Alabama,AL,490
2019,Alabama,AL,631.5
2019,Alabama,AL,388.7
2019,Alabama,AL,112.1
2019,Alabama,AL,145.3
2019,Alabama,AL,79.9
2019,Alabama,AL,171.3
2019,Alabama,AL,157.4
2019,Alabama,AL,113
2019,Arkansas,AR,140.6
2019,Arkansas,AR,109.5
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,Arkansas,AR,430.1
2019,Arkansas,AR,540.8
2019,Arkansas,AR,338.1
2019,Arkansas,AR,435.2
2019,Arkansas,AR,550
2019,Arkansas,AR,339
2019,Arkansas,AR,472.4
2019,Arkansas,AR,583.7
2019,Arkansas,AR,384.7
2019,Arkansas,AR,162.2
2019,Arkansas,AR,190.3
2019,Arkansas,AR,132
2019,Arkansas,AR,254.9
2019,Arkansas,AR,272.7
2019,Arkansas,AR,237.6
2019,Arkansas,AR,123.6
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,American Samoa,AS,NA
2019,Arizona,AZ,268.3
2019,Arizona,AZ,336.4
2019,Arizona,AZ,208.2
2019,Arizona,AZ,277.4
2019,Arizona,AZ,346.7
2019,Arizona,AZ,214.7
2019,Arizona,AZ,347
2019,Arizona,AZ,401.3
2019,Arizona,AZ,297.7
2019,Arizona,AZ,220.7
2019,Arizona,AZ,286.1
2019,Arizona,AZ,167.8
2019,Arizona,AZ,155.3
2019,Arizona,AZ,199
2019,Arizona,AZ,123.8
2019,Arizona,AZ,268.1
2019,Arizona,AZ,370.6
2019,Arizona,AZ,193.2
2019,District of Columbia,DC,501.3
2019,District of Columbia,DC,668.8
2019,District of Columbia,DC,389.2
2019,District of Columbia,DC,207.9
2019,California,CA,272.3
2019,California,CA,350.8
2019,California,CA,207.7
2019,California,CA,306.1
2019,California,CA,392
2019,California,CA,233.2
2019,California,CA,423.7
2019,California,CA,546.1
2019,California,CA,325.3
2019,California,CA,221.6
2019,California,CA,284.1
2019,California,CA,171.1
2019,California,CA,168.9
2019,California,CA,220.9
2019,California,CA,128.4
2019,California,CA,315.6
2019,California,CA,430.1
2019,California,CA,219.2
2019,District of Columbia,DC,219.3
2019,District of Columbia,DC,191.9
2019,District of Columbia,DC,194.4
2019,Colorado,CO,245.9
2019,Colorado,CO,305.3
2019,Colorado,CO,195.3
2019,Colorado,CO,249
2019,Colorado,CO,309.3
2019,Colorado,CO,197.3
2019,Colorado,CO,331.3
2019,Colorado,CO,403.8
2019,Colorado,CO,264.1
2019,Colorado,CO,218.8
2019,Colorado,CO,274.8
2019,Colorado,CO,172.1
2019,Colorado,CO,132.8
2019,Colorado,CO,146.1
2019,Colorado,CO,121.6
2019,Colorado,CO,249.7
2019,Colorado,CO,286
2019,Colorado,CO,215
2019,District of Columbia,DC,136.3
2019,Connecticut,CT,273.8
2019,Connecticut,CT,348
2019,Connecticut,CT,215.5
2019,Connecticut,CT,278.3
2019,Connecticut,CT,354.9
2019,Connecticut,CT,217.6
2019,Connecticut,CT,313.2
2019,Connecticut,CT,392.7
2019,Connecticut,CT,254.2
2019,Connecticut,CT,191.6
2019,Connecticut,CT,242.1
2019,Connecticut,CT,151.5
2019,Connecticut,CT,126.5
2019,Connecticut,CT,168.5
2019,Connecticut,CT,90.9
2019,Connecticut,CT,166.4
2019,Connecticut,CT,236.60625
2019,Connecticut,CT,236.60625
2019,District of Columbia,DC,352.8
2019,District of Columbia,DC,433.9
2019,District of Columbia,DC,289.4
2019,District of Columbia,DC,164.8
2019,District of Columbia,DC,156.1
2019,District of Columbia,DC,289.95
2019,District of Columbia,DC,153.2
2019,District of Columbia,DC,289.95
2019,District of Columbia,DC,289.95
2019,District of Columbia,DC,289.95
2019,Delaware,DE,304.3
2019,Delaware,DE,383.8
2019,Delaware,DE,238.5
2019,Delaware,DE,310.8
2019,Delaware,DE,391.7
2019,Delaware,DE,242.9
2019,Delaware,DE,321.1
2019,Delaware,DE,412.7
2019,Delaware,DE,249.9
2019,Delaware,DE,145.2
2019,Delaware,DE,170.5
2019,Delaware,DE,120.5
2019,Delaware,DE,119.9
2019,Delaware,DE,157.4
2019,Delaware,DE,90.8
2019,Delaware,DE,244
2019,Delaware,DE,244
2019,Delaware,DE,244
2019,Hawaii,HI,319.6
2019,Hawaii,HI,227.9
2019,Hawaii,HI,317.3
2019,Hawaii,HI,157.2
2019,Florida,FL,274.9
2019,Florida,FL,350.9
2019,Florida,FL,210.2
2019,Florida,FL,285
2019,Florida,FL,364.3
2019,Florida,FL,214.1
2019,Florida,FL,338.1
2019,Florida,FL,412.5
2019,Florida,FL,279.8
2019,Florida,FL,222.1
2019,Florida,FL,292.8
2019,Florida,FL,169.9
2019,Florida,FL,147.5
2019,Florida,FL,194.7
2019,Florida,FL,111.6
2019,Florida,FL,129.9
2019,Florida,FL,159.8
2019,Florida,FL,101.5
2019,Iowa,IA,254.5
2019,Iowa,IA,333.5
2019,Iowa,IA,428.6
2019,Iowa,IA,256
2019,Iowa,IA,433.9
2019,Iowa,IA,505
2019,Iowa,IA,363.3
2019,Iowa,IA,146.9
2019,Iowa,IA,170.1
2019,Hawaii,HI,578.9
2019,Georgia,GA,345
2019,Georgia,GA,437.9
2019,Georgia,GA,271.5
2019,Georgia,GA,350.8
2019,Georgia,GA,445
2019,Georgia,GA,273.1
2019,Georgia,GA,379
2019,Georgia,GA,486
2019,Georgia,GA,303.1
2019,Georgia,GA,131.6
2019,Georgia,GA,168.6
2019,Georgia,GA,99.4
2019,Georgia,GA,149.3
2019,Georgia,GA,186.3
2019,Georgia,GA,117.9
2019,Georgia,GA,70.2
2019,Georgia,GA,263.41875
2019,Georgia,GA,263.41875
2019,Guam,GU,557
2019,Guam,GU,719.6
2019,Guam,GU,420.6
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Guam,GU,565.7333333333333
2019,Hawaii,HI,238.1
2019,Hawaii,HI,325.5
2019,Hawaii,HI,163.4
2019,Hawaii,HI,253
2019,Hawaii,HI,327.5
2019,Hawaii,HI,176.4
2019,Hawaii,HI,243.2
2019,Hawaii,HI,291.7
2019,Hawaii,HI,289.6928571428571
2019,Hawaii,HI,436
2019,Hawaii,HI,289.6928571428571
2019,Hawaii,HI,289.6928571428571
2019,Hawaii,HI,289.6928571428571
2019,Iowa,IA,119.8
2019,Iowa,IA,172.6
2019,Iowa,IA,213.9
2019,Iowa,IA,146.2
2019,Iowa,IA,263.2
2019,Iowa,IA,296.5
2019,Idaho,ID,260
2019,Louisiana,LA,312.5
2019,Iowa,IA,330.4
2019,Iowa,IA,423
2019,Iowa,IA,285.7294117647059
2019,Louisiana,LA,476.4
2019,Louisiana,LA,609.3
2019,Louisiana,LA,377.6
2019,Illinois,IL,111.9
2019,Idaho,ID,297.7
2019,Idaho,ID,367.1
2019,Idaho,ID,236.2
2019,Idaho,ID,306.3
2019,Idaho,ID,377.5
2019,Idaho,ID,243.4
2019,Idaho,ID,195.4
2019,Idaho,ID,236.69375
2019,Idaho,ID,236.69375
2019,Idaho,ID,158.4
2019,Idaho,ID,197.8
2019,Idaho,ID,120.6
2019,Idaho,ID,163.8
2019,Idaho,ID,279.7
2019,Idaho,ID,94.3
2019,Idaho,ID,250.9
2019,Idaho,ID,238
2019,Louisiana,LA,174.2
2019,Louisiana,LA,208.9
2019,Louisiana,LA,137.3
2019,Louisiana,LA,163.2
2019,Illinois,IL,100.4
2019,Illinois,IL,106
2019,Illinois,IL,93.8
2019,Louisiana,LA,186.2
2019,Illinois,IL,321.6
2019,Illinois,IL,413.1
2019,Illinois,IL,248.9
2019,Illinois,IL,323.5
2019,Illinois,IL,416.9
2019,Illinois,IL,249.1
2019,Illinois,IL,451.4
2019,Illinois,IL,600.1
2019,Illinois,IL,345.6
2019,Illinois,IL,178.5
2019,Illinois,IL,228.9
2019,Illinois,IL,133.8
2019,Illinois,IL,149.2
2019,Illinois,IL,196.6
2019,Louisiana,LA,141.4
2019,Kansas,KS,530.9
2019,Kansas,KS,667.1
2019,Indiana,IN,350.6
2019,Indiana,IN,447.8
2019,Indiana,IN,273.1
2019,Indiana,IN,352.3
2019,Indiana,IN,450.6
2019,Indiana,IN,273.7
2019,Indiana,IN,420.5
2019,Indiana,IN,551.1
2019,Indiana,IN,327.3
2019,Indiana,IN,192.1
2019,Indiana,IN,242.6
2019,Indiana,IN,144.7
2019,Indiana,IN,159.9
2019,Indiana,IN,202
2019,Indiana,IN,127.8
2019,Indiana,IN,81.5
2019,Indiana,IN,287.35
2019,Indiana,IN,287.35
2019,Kansas,KS,419.9
2019,Louisiana,LA,207
2019,Kentucky,KY,497.7
2019,Kentucky,KY,299.6
2019,Kentucky,KY,438
2019,Kentucky,KY,565.3
2019,Kentucky,KY,339.3
2019,Kentucky,KY,122.5
2019,Kansas,KS,318.1
2019,Kansas,KS,404.2
2019,Kansas,KS,248
2019,Kansas,KS,319.7
2019,Kansas,KS,407.8
2019,Kansas,KS,248.4
2019,Kansas,KS,447
2019,Kansas,KS,523.2
2019,Kansas,KS,377.5
2019,Kansas,KS,192
2019,Kansas,KS,247.4
2019,Kansas,KS,144.5
2019,Kansas,KS,145.3
2019,Kansas,KS,179.6
2019,Kansas,KS,118.6
2019,Kentucky,KY,165
2019,Kentucky,KY,82.9
2019,Kentucky,KY,179.2
2019,Kentucky,KY,241.1
2019,Kentucky,KY,137.3
2019,Louisiana,LA,259.2
2019,Louisiana,LA,161
2019,Massachusetts,MA,260.4
2019,Kentucky,KY,308.96666666666664
2019,Kentucky,KY,308.96666666666664
2019,Kentucky,KY,308.96666666666664
2019,Massachusetts,MA,342.7
2019,Kentucky,KY,386.1
2019,Kentucky,KY,493.7
2019,Kentucky,KY,297.8
2019,Kentucky,KY,389
2019,Louisiana,LA,401.5
2019,Louisiana,LA,509.8
2019,Louisiana,LA,413.2
2019,Louisiana,LA,523
2019,Louisiana,LA,325
2019,Massachusetts,MA,198.5
2019,Massachusetts,MA,249.4
2019,Massachusetts,MA,326.9
2019,Massachusetts,MA,191.2
2019,Massachusetts,MA,237.6
2019,Massachusetts,MA,301.3
2019,Massachusetts,MA,190.4
2019,Massachusetts,MA,157.5
2019,Massachusetts,MA,204.4
2019,Massachusetts,MA,121.4
2019,Massachusetts,MA,110.2
2019,Massachusetts,MA,137.7
2019,Massachusetts,MA,87.1
2019,Massachusetts,MA,144.1
2019,Massachusetts,MA,195.8
2019,Massachusetts,MA,203.32941176470587
2019,Maryland,MD,100.6
2019,Maryland,MD,315.6
2019,Maryland,MD,403.6
2019,Maryland,MD,247.2
2019,Maryland,MD,315.6
2019,Maryland,MD,400.5
2019,Maryland,MD,246.6
2019,Maryland,MD,373.1
2019,Maryland,MD,494.7
2019,Maryland,MD,289.8
2019,Maryland,MD,142.2
2019,Maryland,MD,172.1
2019,Maryland,MD,114.3
2019,Maryland,MD,138
2019,Maryland,MD,184.1
2019,Maryland,MD,119.7
2019,Maryland,MD,149.8
2019,Maryland,MD,247.5
2019,Maine,ME,275.1909090909091
2019,Maine,ME,281.4
2019,Maine,ME,366.1
2019,Maine,ME,213.1
2019,Maine,ME,284.2
2019,Maine,ME,370
2019,Maine,ME,215
2019,Maine,ME,242.7
2019,Maine,ME,275.3
2019,Maine,ME,275.1909090909091
2019,Maine,ME,275.1909090909091
2019,Maine,ME,275.1909090909091
2019,Maine,ME,163.7
2019,Maine,ME,275.1909090909091
2019,Maine,ME,275.1909090909091
2019,Maine,ME,264.7
2019,Maine,ME,350.9
2019,Maine,ME,275.1909090909091
2019,Minnesota,MN,100.1
2019,Minnesota,MN,134.1
2019,Minnesota,MN,269.6
2019,Michigan,MI,383.6
2019,Michigan,MI,482.5
2019,Michigan,MI,303.3
2019,Michigan,MI,369.5
2019,Michigan,MI,465.4
2019,Michigan,MI,291
2019,Michigan,MI,542.3
2019,Michigan,MI,702.1
2019,Michigan,MI,425
2019,Michigan,MI,244.8
2019,Michigan,MI,306.8
2019,Michigan,MI,189.3
2019,Michigan,MI,159.7
2019,Michigan,MI,194.2
2019,Michigan,MI,130.8
2019,Michigan,MI,310.7
2019,Michigan,MI,381.4
2019,Michigan,MI,247
2019,Minnesota,MN,199.4
2019,Minnesota,MN,108.5
2019,Minnesota,MN,115.2
2019,Minnesota,MN,228.5
2019,Minnesota,MN,293.6
2019,Minnesota,MN,175.9
2019,Minnesota,MN,229.1
2019,Minnesota,MN,295.4
2019,Minnesota,MN,175.9
2019,Minnesota,MN,235.2
2019,Minnesota,MN,170.8
2019,Minnesota,MN,104.5
2019,Minnesota,MN,339.5
2019,Minnesota,MN,467.6
2019,Minnesota,MN,241.4
2019,North Dakota,ND,384.07
2019,North Dakota,ND,384.07
2019,North Dakota,ND,384.07
2019,North Dakota,ND,206.8
2019,North Dakota,ND,384.07
2019,North Dakota,ND,384.07
2019,Nebraska,NE,375.2
2019,Nebraska,NE,260.8
2019,Mississippi,MS,151.3
2019,Mississippi,MS,176
2019,Mississippi,MS,125.1
2019,Mississippi,MS,214.2
2019,Missouri,MO,369.1
2019,Missouri,MO,471.8
2019,Missouri,MO,285.1
2019,Missouri,MO,365.4
2019,Missouri,MO,468
2019,Missouri,MO,280.8
2019,Missouri,MO,470.9
2019,Missouri,MO,611.3
2019,Missouri,MO,369.5
2019,Missouri,MO,158
2019,Missouri,MO,197.4
2019,Missouri,MO,121
2019,Missouri,MO,169.7
2019,Missouri,MO,209
2019,Missouri,MO,138.2
2019,Missouri,MO,133.1
2019,Missouri,MO,152.4
2019,Missouri,MO,112.9
2019,Northern Mariana Islands,MP,316.8
2019,Northern Mariana Islands,MP,365.9
2019,Northern Mariana Islands,MP,279.2
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
2019,Northern Mariana Islands,MP,320.6333333333333
